City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,upernavik,89,GL,1556429399,89,72.79,-56.15,8.86,11.63
267,george,20,NG,1556427600,94,6.63,3.35,80.6,2.24
268,kirakira,65,SB,1556429399,79,-10.46,161.92,83.38,7.72
269,sangre grande,20,TT,1556429106,88,10.59,-61.13,77.0,4.7
270,mopipi,0,BW,1556429400,66,-21.2,24.86,71.5,14.5
271,port lincoln,7,AU,1556429400,72,-34.72,135.86,60.16,7.83
272,broome,90,GB,1556429284,100,52.47,1.45,46.99,13.87
273,nantucket,90,US,1556429304,56,41.28,-70.1,45.0,12.75
274,victor harbor,75,AU,1556429313,59,-35.55,138.62,66.99,10.29
275,nyurba,100,RU,1556429401,88,63.29,118.35,31.36,14.85
276,port elizabeth,90,US,1556429380,66,39.31,-74.98,59.0,3.36
277,bud,0,NO,1556428800,93,62.91,6.91,52.0,2.24
278,kidal,91,ML,1556429403,18,18.44,1.41,86.62,10.85
279,san andres,77,PH,1556429403,67,13.32,122.68,87.52,4.36
280,fonte boa,76,BR,1556429204,89,-2.51,-66.09,76.72,3.42
281,pacific grove,90,US,1556429403,81,36.62,-121.92,55.99,8.05
282,hof,90,DE,1556429404,100,50.32,11.92,43.0,6.93
283,avera,1,US,1556429159,71,33.19,-82.53,60.8,5.99
284,caravelas,52,BR,1556429411,85,-17.73,-39.27,75.28,1.68
285,itoman,40,JP,1556428560,94,26.12,127.67,77.0,10.29
286,sioux lookout,5,CA,1556427600,66,50.1,-91.92,32.0,2.24
287,port hardy,5,CA,1556427600,81,50.7,-127.42,42.8,9.17
288,whitehorse,20,CA,1556428971,25,60.72,-135.06,41.0,8.05
289,kavieng,36,PG,1556429412,65,-2.57,150.8,88.24,5.97
290,keti bandar,0,PK,1556429412,80,24.14,67.45,80.86,14.72
291,broadstairs,75,GB,1556429407,75,51.36,1.44,46.0,11.41
292,alice springs,15,AU,1556427600,26,-23.7,133.88,78.8,16.11
293,omagari,75,JP,1556427600,55,39.45,140.48,59.0,11.41
294,ahipara,4,NZ,1556429393,100,-35.17,173.16,66.0,9.6
295,jambi,56,ID,1556429414,49,-1.6,103.62,97.06,1.86
296,sitka,57,US,1556428596,60,37.17,-99.65,51.01,5.99
297,vanimo,62,PG,1556429415,74,-2.67,141.3,85.18,12.19
298,santa maria del oro,56,MX,1556429416,25,25.95,-105.37,62.32,6.22
299,usinsk,0,RU,1556429416,81,66.0,57.56,17.32,11.01
300,adrar,0,DZ,1556427600,33,27.87,-0.29,71.6,20.8
301,gasa,61,BT,1556429417,64,27.91,89.73,42.7,9.4
